LeafID,FileName,Area_px,Perimeter_px,MajorAxis_px,MinorAxis_px,AspectRatio,Eccentricity,Solidity,ShapeDescription
1,Leaf 1.jpeg,56409,1206.837,290.916073604684,264.738883516378,1.09887927961548,0.414568588123595,0.811862235719117,Broad or rounded
2,Leaf 2.jpeg,218556,2437.624,560.741025235945,536.096920645928,1.04596949477032,0.293200984125069,0.816821081664916,Broad or rounded
3,Leaf 3.jpeg,63812,2530.201,507.546963916856,252.575540776256,2.00948580514558,0.867383817007219,0.554409682099758,Deeply lobed or compound
4,leaf 4.jpeg,133343,2070.787,680.941009978774,259.464585209748,2.62440829613918,0.924559265761397,0.870220389090838,Elliptic or oval
5,leaf 5.jpeg,199287,2849.636,652.206427238027,515.366490227982,1.26551966339432,0.612862946539615,0.703247571290948,Deeply lobed or compound
6,leaf 6.jpeg,149482,2407.791,898.657053765009,241.486538382328,3.72135465514948,0.963218517015043,0.80449278560242,Long and narrow
7,leaf 7.jpeg,249609,1916.302,640.065320039801,502.326106514989,1.27420277731614,0.619743485146511,0.977073270024191,Broad or rounded
8,leaf 8.jpeg,165431,1778.658,734.327710762563,288.602537354108,2.54442569180035,0.919531634104661,0.973301013714266,Elliptic or oval
9,leaf 9.jpeg,210906,1977.809,684.977782343068,402.725674308128,1.70085451720912,0.808904713974511,0.945482747336002,Elliptic or oval
10,leaf 10.jpeg,254711,4014.863,990.832082349889,363.461079079678,2.7261022964516,0.930290323189151,0.756103932342455,Deeply lobed or compound
11,leaf 11.jpeg,184279,1913.786,506.802030091662,473.981964991754,1.06924327827638,0.354012060885168,0.902642599985305,Broad or rounded
12,leaf 12.jpeg,53461,2346.342,1082.80779767729,192.263856454443,5.63188431588472,0.984109892816862,0.368584705330796,Deeply lobed or compound
13,leaf 13.jpeg,301754,4317.538,689.640004329246,607.825743950258,1.13460150576591,0.472432764266208,0.748507346065024,Deeply lobed or compound
14,leaf 14.jpeg,271852,2562.481,753.692994047903,479.908388533644,1.57049347762144,0.771076482986522,0.858918500497622,Broad or rounded
15,leaf 15.jpeg,228515,3051.056,640.064562147484,511.159412140349,1.25218189657778,0.601854156558091,0.667109430877695,Deeply lobed or compound
16,leaf 16.jpeg,251472,6274.543,761.229295478472,595.078333780814,1.27920855501833,0.623612825502004,0.496012718274828,Deeply lobed or compound
17,leaf 17.jpeg,157427,3506.429,782.266179687081,365.179584101551,2.14214105537056,0.884350947202711,0.658803393050691,Deeply lobed or compound
18,leaf 18.jpeg,114467,1571.246,428.110741800995,364.21350116732,1.17543896760796,0.525577057520807,0.828588387731909,Broad or rounded
19,leaf 19.jpeg,75788,2055.246,423.621277730933,274.314693396606,1.54428941623793,0.762025501448717,0.74047874938935,Deeply lobed or compound
20,leaf 20.jpeg,80075,1363.013,347.423290148662,311.000858982389,1.11711360311174,0.445736719439516,0.856792818241154,Broad or rounded
